fold,epoch,loss,val_dice,val_iou,val_hd95,hd95_undefined,n_val,baseline_dice,delta,lr_bb,sec,ft,bd,w,gate
0,18,0.34849806312395604,0.6456172709754238,0.539233049286203,29.619342895912325,3,50,0.3888955634602504,0.25672170751517337,2.863509802573744e-05,23.939156770706177,0.24288445711135864,0.0,0.0,-0.17411336302757263
0,19,0.325781911611557,0.6389758489963249,0.5182261383633483,44.541732217229416,0,50,0.3888955634602504,0.2500802855360745,2.8420939947311454e-05,24.655850648880005,0.33938324451446533,0.0,0.0,-0.17662884294986725
0,20,0.3537738095132672,0.609858135724766,0.4858859624533152,35.97921809654859,0,50,0.3888955634602504,0.2209625722645156,2.8192106268097336e-05,37.29299879074097,0.3487352728843689,0.023833420127630234,0.0012626262626262534,-0.17930465936660767
0,21,0.33805834030618476,0.6177128471102727,0.5040669939401522,44.14463689651432,0,50,0.3888955634602504,0.22881728365002235,2.794884721436361e-05,31.96314811706543,0.1111505776643753,-0.04694896936416626,0.0075757575757575725,-0.18129263818264008
0,22,0.34068614274871595,0.6537298533922394,0.5413754232579514,30.33734329091263,0,50,0.3888955634602504,0.26483428993198904,2.769142878631403e-05,30.3831889629364,0.14719225466251373,-0.0075097642838954926,0.013888888888888874,-0.18257519602775574
0,23,0.3306049436939006,0.6740963522949863,0.5552784011745558,31.73430478881932,0,50,0.3888955634602504,0.28520078883473593,2.74201324672203e-05,32.22058844566345,0.36749333143234253,0.02470523491501808,0.020202020202020193,-0.1817450374364853
0,24,0.32863025428081044,0.659321810606653,0.5491351890574341,33.234361729368814,0,50,0.3888955634602504,0.27042624714640257,2.7135254915624213e-05,32.474496841430664,0.25289851427078247,-0.017148122191429138,0.026515151515151512,-0.18308959901332855
0,25,0.32973501299108776,0.6295805854509815,0.52133111864625,32.149447007549,0,50,0.3888955634602504,0.2406850219907311,2.6837107640945904e-05,36.522562980651855,0.4898794889450073,-0.020810650661587715,0.03282828282828283,-0.18529391288757324
0,26,0.3200318595888663,0.6478158274667737,0.5331102840149854,38.510635160808135,0,50,0.3888955634602504,0.2589202640065233,2.6526016662852887e-05,31.502418994903564,0.3677684962749481,-0.019200867041945457,0.03914141414141415,-0.18530786037445068
0,27,0.3001779038078931,0.6375988983360372,0.5226421849781216,29.606074690730793,1,50,0.3888955634602504,0.24870333487578683,2.620232215476231e-05,31.199874877929688,0.28674155473709106,-0.07040920853614807,0.045454545454545435,-0.18516765534877777
