pair_id,fold,dice_a,dice_b,dice_mean,iou_mean,dice_pmax,hd95_a,hd95_b,hd95_mean,dice_oracle,dice_copy
A11_H2__t2_t3,1,0.7147435897435898,0.8678304239401496,0.8766079085278704,0.7803223070398643,0.6874074074074074,49.809794056636974,46.64567562970747,7.296893050109682,0.8678304239401496,0.4640122511485451
A11_H7__t1_t2,1,0.9302091206853111,0.7868638538494998,0.910763112105394,0.836147877681424,0.7961414790996785,4.0,19.887146043225243,5.3987492792524,0.9302091206853111,0.6016156462585034
A11_H7__t2_t3,1,0.8733982573039467,0.8507306889352818,0.8704370179948586,0.7705962676376877,0.8841999497613665,9.0,8.06225774829855,8.449420855788075,0.8733982573039467,0.0207227697750821
A12_H1__t1_t2,1,0.6728334956183057,0.6888128969223254,0.6865234375,0.5226765799256505,0.6514131897711979,24.651255869389278,20.232480684683757,22.962976290068575,0.6888128969223254,0.5365677045619116
A12_H1__t2_t3,1,0.653575398295665,0.6868686868686869,0.6814092953523239,0.5167708925525867,0.6483439041578577,45.74104872334205,43.65885616453494,44.552607286035126,0.6868686868686869,0.3477570464470028
A16_H1__t1_t2,1,0.0,0.0,0.0,0.0,0.0,,60.411918197589394,54.18556618139722,0.0,0.0
A16_H1__t2_t3,1,0.0,0.336283185840708,0.0738255033557047,0.03832752613240418,0.2336065573770492,88.80133454301274,92.48723513570846,91.03759750706095,0.336283185840708,0.0
A16_H6__t1_t2,1,0.7138389366692729,0.7799394725464764,0.7547481420313791,0.6061007957559682,0.7017274472168906,20.247340880145657,10.931098884280699,13.150367627183861,0.7799394725464764,0.4465528146742568
A17_H10__t1_t2,1,0.9002090857251474,0.9095701540957015,0.91202519189136,0.8382778581765558,0.8962158111652304,5.830951894845301,7.266308421610007,5.830951894845301,0.9095701540957015,0.4464308848296411
A17_H10__t2_t3,1,0.9445614035087719,0.8947494605610166,0.9303752655180553,0.8698146513680495,0.9287345820009136,2.0,4.4606611916055625,3.0,0.9445614035087719,0.1008221549112938
A1_H4__t1_t2,1,0.7654320987654321,0.8569144684252598,0.8156077348066298,0.6886297376093294,0.7544396815676668,22.13932660567845,5.932380757938114,18.020795749453864,0.8569144684252598,0.5959915611814346
A1_H4__t2_t3,1,0.7182813133360356,0.9128712871287129,0.8392774432607689,0.7230646448523543,0.7245253777605579,24.186773244895647,2.8284271247461903,19.70152070155078,0.9128712871287129,0.8169522091974752
A20_H3__t1_t2,1,0.8436018957345972,0.5640728955741973,0.7406849830636055,0.5881649731022116,0.5501101321585903,27.35323014843156,91.39310279921033,83.56524002487171,0.8436018957345972,0.3886378308586184
A20_H3__t2_t3,1,0.8400969109630527,0.7599665458600502,0.8233541852844802,0.699746835443038,0.7863155036654901,9.433981132056603,15.521467256284858,9.433981132056603,0.8400969109630527,0.5586231624238078
